id_doctor,usuario_login,contrasena
D331,ddpavn,ddpavn01
D332,darios,darios01
D333,djbustillos,djbustillos01
D334,djbustillos2,djbustillos201
D335,dibernal,dibernal01
D336,dibernal2,dibernal201
D337,dssnchez,dssnchez01
D338,dmsnchez,dmsnchez01
D339,dsortiz,dsortiz01
D340,drvega,drvega01
D341,drclavijo,drclavijo01
D342,djorihuela,djorihuela01
D343,djarguello,djarguello01
D344,diurrutia,diurrutia01
D345,diurrutia2,diurrutia201
D346,diurrutia3,diurrutia301
D347,dafranco,dafranco01
D348,doadame,doadame01
D349,djcid,djcid01
D350,doramrez,doramrez01
D351,dmgutierrez,dmgutierrez01
D352,davzquez,davzquez01
D353,djtorres2,djtorres201
D354,dmpliego,dmpliego01
D355,djrodrguez2,djrodrguez201
D356,dmescamilla,dmescamilla01
D357,dmcastorena,dmcastorena01
D358,drlomas,drlomas01
D359,dnvelzquez,dnvelzquez01
D360,dlhernndez,dlhernndez01
D361,ddmoreno,ddmoreno01
D362,drlomas2,drlomas201
D363,dlgurrola,dlgurrola01
D364,dpgutirrez,dpgutirrez01
D365,djcaas,djcaas01
D366,dlgurrola2,dlgurrola201
D367,dsvargas,dsvargas01
D368,dlcarrillo,dlcarrillo01
D369,dssnchez2,dssnchez201
D370,dmgarcia,dmgarcia01
D371,drsnchez2,drsnchez201
D372,drsnchez3,drsnchez301
D373,dauribe,dauribe01
D374,dmmartnez,dmmartnez01
D375,dmmartnez2,dmmartnez201
D376,djmontiel,djmontiel01
D377,daroman,daroman01
D378,drgngora,drgngora01
D379,doadame2,doadame201
D380,dmrodrguez,dmrodrguez01
D381,dbreyna,dbreyna01
D382,dlgalina,dlgalina01
D383,dljacobo,dljacobo01
D384,dfcanseco,dfcanseco01
D385,dbmaldonado,dbmaldonado01
D386,dlsaldaa,dlsaldaa01
D387,dszepeda,dszepeda01
D388,daocampo,daocampo01
D389,dmgonzlez,dmgonzlez01
D390,djorozco,djorozco01
D391,drcendejas,drcendejas01
D392,djeguiluz,djeguiluz01
D393,dafraga,dafraga01
D394,drjurez,drjurez01
D395,dcoviedo,dcoviedo01
D396,djalcantar,djalcantar01
D397,dmanguiano,dmanguiano01
D398,dgpadilla,dgpadilla01
D399,djmayo,djmayo01
D400,dthernndez,dthernndez01
D401,draguilar,draguilar01
D402,deespinoza,deespinoza01
D403,dpcarranza,dpcarranza01
D404,djchargoy,djchargoy01
D405,djarias,djarias01
D406,daschoelly,daschoelly01
D407,dptorres,dptorres01
D408,dlurbina,dlurbina01
D409,djmorales,djmorales01
D410,dabracho,dabracho01
D411,djcabrera,djcabrera01
D412,djcabrera2,djcabrera201
D413,ddvzquez,ddvzquez01
D414,ddvzquez2,ddvzquez201
D415,ddmacas,ddmacas01
D416,ddmacas2,ddmacas201
D417,dncisneros,dncisneros01
D418,drquintero,drquintero01
D419,dfgarca2,dfgarca201
D420,dkabarca,dkabarca01
D421,ddramos,ddramos01
D422,dlhernndez2,dlhernndez201
D423,dpfort,dpfort01
D424,demartnez2,demartnez201
D425,demartnez3,demartnez301
D426,dcvargas,dcvargas01
D427,dmnava,dmnava01
D428,dmzenteno,dmzenteno01
D429,dmgrimshaw,dmgrimshaw01
D430,dgcontreras,dgcontreras01
D431,djandoney,djandoney01
D432,dcserafin,dcserafin01
D433,dmduro,dmduro01
D434,dgaparicio,dgaparicio01
D435,dlcervantes,dlcervantes01
D436,dncorts,dncorts01
D437,dncorts2,dncorts201
D438,dcreyes2,dcreyes201
D439,dhmolina,dhmolina01
D440,dhmolina2,dhmolina201
D441,dfchalico,dfchalico01
D442,dfchalico2,dfchalico201
D443,dddaz,dddaz01
D444,dmhernndez2,dmhernndez201
D445,drromo2,drromo201
D446,dftovar,dftovar01
D447,drivera,drivera01
D448,demiranda,demiranda01
D449,dfsilva,dfsilva01
D450,dimeneses,dimeneses01
D451,dncasas,dncasas01
D452,dzgarca,dzgarca01
D453,dvsalguero,dvsalguero01
D454,djgordillo,djgordillo01
D455,dmmartnez3,dmmartnez301
D456,dgmembrila,dgmembrila01
D457,darueda,darueda01
D458,dpvallejo,dpvallejo01
D459,dlcardona,dlcardona01
D460,dnnava,dnnava01
D461,davalds,davalds01
D462,davalds2,davalds201
D463,dngmez,dngmez01
D464,drprez,drprez01
D465,drprez2,drprez201
D466,dpllera,dpllera01
D467,damoctezuma,damoctezuma01
D468,dgvaldez,dgvaldez01
D469,dasurez,dasurez01
D470,dbalonso,dbalonso01
D471,drpadilla,drpadilla01
D472,drpadilla2,drpadilla201
D473,dearellano,dearellano01
D474,dmvega,dmvega01
D475,dcdomnguez,dcdomnguez01
D476,djhernndez2,djhernndez201
D477,dbello,dbello01
D478,dlprez,dlprez01
D479,degarca,degarca01
D480,degarca2,degarca201
D481,diromero,diromero01
D482,dmgmez,dmgmez01
D483,ditrejo,ditrejo01
D484,ditrejo2,ditrejo201
D485,dmsalas,dmsalas01
D486,dmmendoza2,dmmendoza201
D487,dbprez,dbprez01
D488,dapizano,dapizano01
D489,dijurez,dijurez01
D490,djdonath,djdonath01
D491,djdonath2,djdonath201
D492,djvillanueva,djvillanueva01
D493,djvillanueva2,djvillanueva201
D494,dscasillas,dscasillas01
D495,djramrez,djramrez01
D496,djcastellano,djcastellano01
D497,drromn,drromn01
D498,dcvaladez,dcvaladez01
D499,dvdelgado,dvdelgado01
D500,djlpez2,djlpez201
D501,djbautista,djbautista01
D502,damonroy,damonroy01
D503,damonroy2,damonroy201
D504,dgornelas,dgornelas01
D505,dialpuche,dialpuche01
D506,dlordez,dlordez01
D507,dgsnchez,dgsnchez01
D508,djnavarro,djnavarro01
D509,dgesnaurriza,dgesnaurriza01
D510,dkgonzlez,dkgonzlez01
D511,dlzavala,dlzavala01
D512,djchipolini,djchipolini01
D513,dgmatus,dgmatus01
D514,dgalarza,dgalarza01
D515,dvventura,dvventura01
D516,dvventura2,dvventura201
D517,dlchvez,dlchvez01
D518,dlmeja,dlmeja01
D519,dlmeja2,dlmeja201
D520,dadiaz,dadiaz01
D521,dssantiesteb,dssantiesteb01
D522,dmromero,dmromero01
D523,dmramos,dmramos01
D524,djhernndez3,djhernndez301
D525,dmavitia,dmavitia01
D526,deflores,deflores01
D527,dgrosa,dgrosa01
D528,dgrosa2,dgrosa201
D529,dbnumbela,dbnumbela01
D530,dbnumbela2,dbnumbela201
D531,danarvaez,danarvaez01
D532,dmaquino,dmaquino01
D533,dmaquino2,dmaquino201
D534,daarellano,daarellano01
D535,dcponzanelli,dcponzanelli01
D536,dmmoron,dmmoron01
D537,deborjn,deborjn01
D538,deborjn2,deborjn201
D539,dcsoto,dcsoto01
D540,dcsoto2,dcsoto201
D541,dcvaladez2,dcvaladez201
D542,dcvaladez3,dcvaladez301
D543,dgalarza2,dgalarza201
D544,dahernndez4,dahernndez401
D545,dahernndez5,dahernndez501
D546,djgalicia,djgalicia01
D547,djgalicia2,djgalicia201
D548,dpo,dpo01
D549,dpo2,dpo201
D550,dsramrez,dsramrez01
D551,dsramrez2,dsramrez201
D552,ddarriaga2,ddarriaga201
D553,ddarriaga3,ddarriaga301
D554,dmgonzlez2,dmgonzlez201
D555,dflpez3,dflpez301
D556,dflpez4,dflpez401
D557,djros,djros01
D558,djaguilar2,djaguilar201
D559,ddramrez,ddramrez01
D560,dhflores,dhflores01
D561,dnmartnez,dnmartnez01
D562,dmrivera,dmrivera01
D563,dajimenez,dajimenez01
D564,dpguerrero,dpguerrero01
D565,dmolgun,dmolgun01
D566,dlvega,dlvega01
D567,dsramos,dsramos01
D568,dhpalacios,dhpalacios01
D569,degonzlez,degonzlez01
D570,djlen,djlen01
D571,dmgutirrez,dmgutirrez01
D572,dmcastillo,dmcastillo01
D573,dmguzman,dmguzman01
D574,dcvargas2,dcvargas201
D575,dvnava,dvnava01
D576,dsserna,dsserna01
D577,djbermudez,djbermudez01
D578,dapasquel,dapasquel01
D579,djhernndez4,djhernndez401
D580,dlverduzco,dlverduzco01
D581,dhmuoz,dhmuoz01
D582,daramrez3,daramrez301
D583,dogijon,dogijon01
D584,dcgarca,dcgarca01
D585,delecona,delecona01
D586,ddarestegui,ddarestegui01
D587,dfbarrera,dfbarrera01
D588,dgmndez,dgmndez01
D589,delasri,delasri01
D590,detrevio,detrevio01
D591,djsnchez,djsnchez01
D592,djhernndez5,djhernndez501
D593,drlozano,drlozano01
D594,dazaldivar,dazaldivar01
D595,drgarca3,drgarca301
D596,dmlanda,dmlanda01
D597,djramos,djramos01
D598,drsnchez4,drsnchez401
D599,dgramrez2,dgramrez201
D600,dpespino,dpespino01
D601,dmsosa,dmsosa01
D602,dvsnchez,dvsnchez01
D603,djespndola,djespndola01
D604,dfgarca3,dfgarca301
D605,dfgarca4,dfgarca401
D606,dlguillot,dlguillot01
D607,djvega,djvega01
D608,dlsolache,dlsolache01
D609,dmmuoz,dmmuoz01
D610,djgarca,djgarca01
D611,ddanides,ddanides01
D612,drgalguera,drgalguera01
D613,drgalguera2,drgalguera201
D614,damendoza,damendoza01
D615,dhgmez,dhgmez01
D616,dllaguarda,dllaguarda01
D617,djurez,djurez01
D618,dairigoyen,dairigoyen01
D619,dlsoriano,dlsoriano01
D620,daalarcn,daalarcn01
D621,dmcruz,dmcruz01
D622,dmcruz2,dmcruz201
D623,dncarren,dncarren01
D624,dsolvera,dsolvera01
D625,dlsalinas,dlsalinas01
D626,dgamador,dgamador01
D627,dagonzlez,dagonzlez01
D628,dtagonizante,dtagonizante01
D629,dfmeja,dfmeja01
D630,disoto,disoto01
D631,dgvillicaa,dgvillicaa01
D632,djbarrn,djbarrn01
D633,dgrivera,dgrivera01
D634,dilara,dilara01
D635,daaguilar,daaguilar01
D636,draragn,draragn01
D637,dmflores,dmflores01
D638,dealcantar,dealcantar01
D639,dfaguirre,dfaguirre01
D640,dcortiz,dcortiz01
D641,dlcorrea,dlcorrea01
D642,dlcorrea2,dlcorrea201
D643,djreyes2,djreyes201
D644,dydonagustin,dydonagustin01
D645,dhorihuela,dhorihuela01
D646,daaguirre2,daaguirre201
D647,dcgonzlez,dcgonzlez01
D648,ddvalle,ddvalle01
D649,diluna,diluna01
D650,dcquesnel,dcquesnel01
D651,dccespedes,dccespedes01
D652,dlreyes,dlreyes01
D653,djcervera,djcervera01
D654,djfarfn,djfarfn01
D655,digonzlez,digonzlez01
D656,djorozco2,djorozco201
D657,ddhernndez,ddhernndez01
D658,djoropeza,djoropeza01
D659,djoropeza2,djoropeza201
D660,dkcruz,dkcruz01
D661,dbgilardi,dbgilardi01
D662,djthomas,djthomas01
D663,darodriguez,darodriguez01
D664,daguzman,daguzman01
D665,dsgrohmann,dsgrohmann01
D666,djmendez,djmendez01
D667,detom,detom01
D668,dmrosas,dmrosas01
D669,dmrosas2,dmrosas201
D670,dbconcha,dbconcha01
D671,djcastro,djcastro01
D672,dsprez,dsprez01
D673,dsromero,dsromero01
D674,dsromero2,dsromero201
D675,dsromero3,dsromero301
D676,dmmedina,dmmedina01
D677,dlbaca,dlbaca01
D678,daguerrero,daguerrero01
D679,dkgasca,dkgasca01
D680,djrodrguez3,djrodrguez301
D681,djrodrguez4,djrodrguez401
D682,dcnava,dcnava01
D683,dcnava2,dcnava201
D684,dlbuendia,dlbuendia01
D685,djsnchez2,djsnchez201
D686,daramrez4,daramrez401
D687,dslucio,dslucio01
D688,djzink,djzink01
D689,ddmena,ddmena01
D690,dsortiz2,dsortiz201
D691,degmez,degmez01
D692,drbecerra,drbecerra01
D693,dcespinosa,dcespinosa01
D694,dacornelio,dacornelio01
D695,devzquez,devzquez01
D696,dfgarca5,dfgarca501
D697,dfreyes,dfreyes01
D698,dvgonzlez,dvgonzlez01
D699,dgnoyola,dgnoyola01
D700,dmorozco,dmorozco01
D701,djmontor,djmontor01
D702,dcarroyo,dcarroyo01
D703,dlmeneses,dlmeneses01
D704,dlmeneses2,dlmeneses201
D705,dmendoza,dmendoza01
D706,djflores3,djflores301
D707,djmrquez,djmrquez01
D708,dosnchez,dosnchez01
D709,drsevilla,drsevilla01
D710,djgonzlez,djgonzlez01
D711,djgonzlez2,djgonzlez201
D712,djgonzlez3,djgonzlez301
D713,djgonzlez4,djgonzlez401
D714,debreffe,debreffe01
D715,dacollado,dacollado01
D716,ddrubio,ddrubio01
D717,dmsoto,dmsoto01
D718,dlcastillo,dlcastillo01
D719,dlechavarri,dlechavarri01
D720,dsbravo,dsbravo01
D721,dmsangri,dmsangri01
D722,dcjordan,dcjordan01
D723,drrivera,drrivera01
D724,dmjurez,dmjurez01
D725,dehernndez2,dehernndez201
D726,dtherrera,dtherrera01
D727,djcaldern,djcaldern01
D728,dvrita,dvrita01
D729,demartnez4,demartnez401
D730,demartnez5,demartnez501
D731,dfsols,dfsols01
D732,dfsols2,dfsols201
D733,ddsaucedo,ddsaucedo01
D734,dpacua,dpacua01
D735,dwmijangos,dwmijangos01
D736,dmrodrguez2,dmrodrguez201
D737,droca,droca01
D738,dcochoa,dcochoa01
D739,dyprez,dyprez01
D740,dmmonroy,dmmonroy01
D741,djandreu,djandreu01
D742,davillafuert,davillafuert01
D743,djvega2,djvega201
D744,dmmartnez4,dmmartnez401
D745,dmruz,dmruz01
D746,drprez3,drprez301
D747,dnresndiz,dnresndiz01
D748,dkvidales,dkvidales01
D749,dhdaz,dhdaz01
D750,deperz,deperz01
D751,dcparada,dcparada01
D752,dbleon,dbleon01
D753,dyescamilla,dyescamilla01
D754,dccastillo,dccastillo01
D755,drramrez,drramrez01
D756,drvelzquez,drvelzquez01
D757,dhpea,dhpea01
D758,dhpea2,dhpea201
D759,dijimeno,dijimeno01
D760,djcorona,djcorona01
D761,djcorona2,djcorona201
D762,djcorona3,djcorona301
D763,davillers,davillers01
D764,ddrecio,ddrecio01
D765,dmvaldz,dmvaldz01
D766,ddgonzlez,ddgonzlez01
D767,dcvillaseor,dcvillaseor01
D768,dleyva,dleyva01
D769,dmgamba,dmgamba01
D770,drurquiza,drurquiza01
D771,djcaldern2,djcaldern201
D772,djurquiza,djurquiza01
D773,djleaos,djleaos01
D774,dcaguilar,dcaguilar01
D775,dagarca,dagarca01
D776,dugonzlez,dugonzlez01
D777,dmpinto,dmpinto01
D778,dlhidalgo,dlhidalgo01
D779,djcamberos,djcamberos01
D780,dgaizcorbe,dgaizcorbe01
D781,djibarra,djibarra01
D782,dmmadrigal,dmmadrigal01
D783,djcarrera,djcarrera01
D784,djcelaya,djcelaya01
D785,djoliva,djoliva01
D786,daanaya,daanaya01
D787,dilozano,dilozano01
D788,dmojeda,dmojeda01
D789,dmojeda2,dmojeda201
D790,djfranco,djfranco01
D791,dmjasso,dmjasso01
D792,dfmeja2,dfmeja201
D793,dflinares,dflinares01
D794,dmfrier,dmfrier01
D795,dspuga,dspuga01
D796,dppuga,dppuga01
D797,dmbonifaz,dmbonifaz01
D798,dhnieto,dhnieto01
D799,dfrescalvo,dfrescalvo01
D800,drtorres,drtorres01
D801,davega,davega01
D802,daavalos,daavalos01
D803,dadaz,dadaz01
D804,dvbulos,dvbulos01
D805,dmferegrino,dmferegrino01
D806,dmferegrino2,dmferegrino201
D807,djmingramm,djmingramm01
D808,dllen,dllen01
D809,djsnchez3,djsnchez301
D810,dacastellano,dacastellano01
D811,daprez2,daprez201
D812,djcurtidor,djcurtidor01
D813,djcurtidor2,djcurtidor201
D814,ddarias,ddarias01
D815,djramrez2,djramrez201
D816,djramrez3,djramrez301
D817,djhernndez6,djhernndez601
D818,dpcanonico,dpcanonico01
D819,dagonzlez2,dagonzlez201
D820,djarias2,djarias201
D821,dktinajero,dktinajero01
D822,dgmorales,dgmorales01
D823,drchvez,drchvez01
D824,daaguirre3,daaguirre301
D825,djgarca2,djgarca201
D826,dcrizo,dcrizo01
D827,daarellano2,daarellano201
D828,dgcastillo,dgcastillo01
D829,dxminichini,dxminichini01
D830,djramrez4,djramrez401
D831,drpacheco,drpacheco01
D832,dfvzquez,dfvzquez01
D833,dcvillalvazo,dcvillalvazo01
D834,djolvera,djolvera01
D835,djresndiz,djresndiz01
D836,djfuentes,djfuentes01
D837,ddcacique,ddcacique01
D838,ddresndiz,ddresndiz01
D839,dfochoa,dfochoa01
D840,dacasas,dacasas01
D841,dptmez,dptmez01
D842,dlllamas,dlllamas01
D843,dcvalds,dcvalds01
D844,djgasperin,djgasperin01
D845,dmcampos,dmcampos01
D846,dmarias,dmarias01
D847,dalvarez,dalvarez01
D848,dalvarez2,dalvarez201
D849,dfmontiel,dfmontiel01
D850,dnsalto,dnsalto01
D851,dgmuoz,dgmuoz01
D852,dcrios,dcrios01
D853,dmsols,dmsols01
D854,dlvzquez,dlvzquez01
D855,devzquez2,devzquez201
D856,dltalamantes,dltalamantes01
D857,djmoreno,djmoreno01
D858,dalpez2,dalpez201
D859,dfcrdova,dfcrdova01
D860,dmhernndez3,dmhernndez301
D861,dpfernndez,dpfernndez01
D862,dibecerril,dibecerril01
D863,dlgarca,dlgarca01
D864,djcosi,djcosi01
D865,dasnchez,dasnchez01
D866,dlmota,dlmota01
D867,dcnarvaez,dcnarvaez01
D868,dadaz2,dadaz201
D869,dmherrera,dmherrera01
D870,dmherrera2,dmherrera201
D871,dlledesma,dlledesma01
D872,dfbrito,dfbrito01
D873,dsebrard,dsebrard01
D874,dsebrard2,dsebrard201
D875,dechandomid,dechandomid01
D876,dstemois,dstemois01
